aip,entity,
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q2832068, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q11423, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q58778, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q29539, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q58778, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 



urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q188889, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q918751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q188889, 
urn:nasa:pds:ast_binary_parameters_compilation:data:references_tab/2.0, http://www.wikidata.org/entity/Q121769, 



urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q496946, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6422240, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q1022867, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q339, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q22983, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q11563, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q11563, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q1071027, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3559, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q190087, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5011, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q1031433, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q214796, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37340, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q4735100, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q130227, 
